"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","cis","cis_trans","trans","total_cis","total_cis_trans","total_trans","cis_in_gc","cis_trans_in_gc","trans_in_gc"
"GALACTOSIALIDOSIS","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"NT5C2","","",1,0,0,1,0,0
"Glucose tolerance test","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"GIPR","","",1,0,0,1,0,0
"Gonadal dysgenesis XX type deafness","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"ERAL1","","",1,0,0,0,0,0
"Hemarthrosis","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"GGCX","","",1,0,0,1,0,0
"Hereditary Connective Tissue Disorder","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"SCD","","",1,0,0,0,0,0
"Hermaphroditism","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"PRKD2","","",1,0,0,1,0,0
"Heterochromia iridis","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"PTEN","","",1,0,0,0,0,0
"Hospital acquired pneumonia","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"","","BAG1",0,0,1,0,0,0
"Hypersplenism","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"SYT1","","",1,0,0,0,0,0
"increased risk of pancreatic cancer","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"CHEK2","","",1,0,0,0,0,0
"Infantile nystagmus","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"","","GPR143",0,0,1,0,0,0
"Infarction","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"ITGB3","","",1,0,0,0,0,0
"Insulin measurement","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"GIPR","","",1,0,0,1,0,0
"Intolerant of heat","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"MAP2K1","","",1,0,0,0,0,0
"Kernicterus","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"ABCC1","","",1,0,0,0,0,0
"Kleine-Levin Syndrome","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"COMT","","",1,0,0,0,0,0
"Large head (disorder)","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"PTEN","","",1,0,0,0,0,0
"Long Qt Syndrome 2","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"SCD","","",1,0,0,0,0,0
"Lymphoblastic leukemia in children","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"","","BTG1",0,0,1,0,0,0
"Malignant neoplasm of anus","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"MCM7","","",1,0,0,0,0,0
"Menstrual spotting","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"CSF1R","","",1,0,0,0,0,0
"Miosis disorder","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"SLC22A1","","",1,0,0,0,0,0
"Multiple lentigines","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"MAP2K1","","",1,0,0,0,0,0
"Myeloperoxidase Measurement","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"","SMG8","",0,1,0,0,0,0
"Panacinar Emphysema","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"TGFB1","","",1,0,0,1,0,0
"Parkinsonian tremor","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"","POLG","",0,1,0,0,0,0
"Persistent Fetal Circulation Syndrome","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"PTEN","","",1,0,0,0,0,0
"Pharyngitis","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"HLA-C","","",1,0,0,0,0,0
"Progeroid facial appearance","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"B4GALT7","","",1,0,0,0,0,0
"Progressive multiple sclerosis","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"DDT","","",1,0,0,0,0,0
"PTEN Hamartoma Tumor Syndrome","1/12",0.273787698850385,0.596070477717165,0,0,3.37021645021645,4.36578612303537,"PTEN","","",1,0,0,0,0,0
"Sense of smell impaired","2/39",0.273799163370207,0.596070477717165,0,0,2.0050546729936,2.59726846685332,"TSHZ1;SPRY4","","",2,0,0,0,0,0
"Skin lesion","2/39",0.273799163370207,0.596070477717165,0,0,2.0050546729936,2.59726846685332,"SERPINH1","AS3MT","",1,1,0,1,0,0
"Talipes foot deformities","2/39",0.273799163370207,0.596070477717165,0,0,2.0050546729936,2.59726846685332,"","TMEM216;TNNI2","",0,2,0,0,0,0
"Absent auditory canals","2/39",0.273799163370207,0.596070477717165,0,0,2.0050546729936,2.59726846685332,"TSHZ1","POMT2","",1,1,0,0,0,0
"Absent external auditory canals","2/39",0.273799163370207,0.596070477717165,0,0,2.0050546729936,2.59726846685332,"TSHZ1","POMT2","",1,1,0,0,0,0
"Atresia of the external auditory canal","2/39",0.273799163370207,0.596070477717165,0,0,2.0050546729936,2.59726846685332,"TSHZ1","POMT2","",1,1,0,0,0,0
"Atretic auditory canal","2/39",0.273799163370207,0.596070477717165,0,0,2.0050546729936,2.59726846685332,"TSHZ1","POMT2","",1,1,0,0,0,0
"Disorder of macula of retina","2/39",0.273799163370207,0.596070477717165,0,0,2.0050546729936,2.59726846685332,"FADS2;GSTP1","","",2,0,0,0,0,0
"Gowers sign present","2/39",0.273799163370207,0.596070477717165,0,0,2.0050546729936,2.59726846685332,"DAG1;POMGNT1","","",2,0,0,0,0,0
"Hyperphosphaturia","2/39",0.273799163370207,0.596070477717165,0,0,2.0050546729936,2.59726846685332,"","FASTKD2;COX10","",0,2,0,0,0,0
"Klinefelter's syndrome - male with more than two X chromosomes","2/39",0.273799163370207,0.596070477717165,0,0,2.0050546729936,2.59726846685332,"","AZGP1","SOX9",0,1,1,0,0,0
"Ovarian failure","2/39",0.273799163370207,0.596070477717165,0,0,2.0050546729936,2.59726846685332,"COMT","EIF2B2","",1,1,0,0,0,0
"Pyelonephritis","2/39",0.273799163370207,0.596070477717165,0,0,2.0050546729936,2.59726846685332,"RBMS2","ADM","",1,1,0,0,0,0
"Single Seizure","4/101",0.275062802619634,0.596070477717165,0,0,1.53075008887309,1.97582460795558,"MPDZ;SLC8A1;ACAT1","POLG","",3,1,0,0,0,0
"Seizures, Auditory","4/101",0.275062802619634,0.596070477717165,0,0,1.53075008887309,1.97582460795558,"MPDZ;SLC8A1;ACAT1","POLG","",3,1,0,0,0,0
"Seizures, Clonic","4/101",0.275062802619634,0.596070477717165,0,0,1.53075008887309,1.97582460795558,"MPDZ;SLC8A1;ACAT1","POLG","",3,1,0,0,0,0
"Seizures, Sensory","4/101",0.275062802619634,0.596070477717165,0,0,1.53075008887309,1.97582460795558,"MPDZ;SLC8A1;ACAT1","POLG","",3,1,0,0,0,0
"Seizures, Somatosensory","4/101",0.275062802619634,0.596070477717165,0,0,1.53075008887309,1.97582460795558,"MPDZ;SLC8A1;ACAT1","POLG","",3,1,0,0,0,0
"Vertiginous seizure","4/101",0.275062802619634,0.596070477717165,0,0,1.53075008887309,1.97582460795558,"MPDZ;SLC8A1;ACAT1","POLG","",3,1,0,0,0,0
"Atonic Absence Seizures","4/101",0.275062802619634,0.596070477717165,0,0,1.53075008887309,1.97582460795558,"MPDZ;SLC8A1;ACAT1","POLG","",3,1,0,0,0,0
"Generalized Absence Seizures","4/101",0.275062802619634,0.596070477717165,0,0,1.53075008887309,1.97582460795558,"MPDZ;SLC8A1;ACAT1","POLG","",3,1,0,0,0,0
"Gustatory seizure","4/101",0.275062802619634,0.596070477717165,0,0,1.53075008887309,1.97582460795558,"MPDZ;SLC8A1;ACAT1","POLG","",3,1,0,0,0,0
"Jacksonian Seizure","4/101",0.275062802619634,0.596070477717165,0,0,1.53075008887309,1.97582460795558,"MPDZ;SLC8A1;ACAT1","POLG","",3,1,0,0,0,0
"Non-epileptic convulsion","4/101",0.275062802619634,0.596070477717165,0,0,1.53075008887309,1.97582460795558,"MPDZ;SLC8A1;ACAT1","POLG","",3,1,0,0,0,0
"Nonepileptic Seizures","4/101",0.275062802619634,0.596070477717165,0,0,1.53075008887309,1.97582460795558,"MPDZ;SLC8A1;ACAT1","POLG","",3,1,0,0,0,0
"Olfactory seizure","4/101",0.275062802619634,0.596070477717165,0,0,1.53075008887309,1.97582460795558,"MPDZ;SLC8A1;ACAT1","POLG","",3,1,0,0,0,0
"Tumor Immunity","5/134",0.277584834900062,0.596070477717165,0,0,1.43916737341725,1.84447818276739,"NPEPPS;EDNRA;HLA-C","FCGR3B;KDR","",3,2,0,1,0,0
"High forehead","5/134",0.277584834900062,0.596070477717165,0,0,1.43916737341725,1.84447818276739,"MAP2K1;SERPINH1;TWIST1","","EBF3;SOX9",3,0,2,1,0,0
"Myopia","9/269",0.278192533803597,0.596070477717165,0,0,1.28646034816248,1.64595119155273,"MAP2K1;TGFB1;DAG1;PTEN;CTSH;NT5C2;POMGNT1","POMT2","RSRC2",7,1,1,2,0,0
"Pancreatitis","9/269",0.278192533803597,0.596070477717165,0,0,1.28646034816248,1.64595119155273,"EDNRA;TGFB1;ALDH2;GSTP1;LPL;ABCF1","PCCB;LEPR","HSF1",6,2,1,4,1,0
"Cardiac Arrest","7/201",0.278701686551294,0.596070477717165,0,0,1.3404048229148,1.71251901978253,"ATXN2;SCD;GSTP1;NOS1AP;HLA-B;PGF","PLB1","",6,1,0,1,0,0
"Hepatomegaly","12/373",0.278738983288439,0.596070477717165,0,0,1.23606066158638,1.57904212975824,"IL1RN;SLC22A5;DDRGK1;RFT1;ASL;LYZ;LIPA","FASTKD2;PCCB;LEPR;COX10;POLG","",7,5,0,1,1,0
"Glaucoma, Open-Angle","3/70",0.279700804425867,0.596070477717165,0,0,1.66151080163237,2.11682258642033,"ATXN2;CDKN2B;ABO","","",3,0,0,2,0,0
"Squamous cell carcinoma of oropharynx","3/70",0.279700804425867,0.596070477717165,0,0,1.66151080163237,2.11682258642033,"GSTP1;PTEN;XPC","","",3,0,0,0,0,0
"Stromal Neoplasm","3/70",0.279700804425867,0.596070477717165,0,0,1.66151080163237,2.11682258642033,"TWIST1","LEPR","SOX9",1,1,1,0,1,0
"Knee joint valgus deformity","3/70",0.279700804425867,0.596070477717165,0,0,1.66151080163237,2.11682258642033,"TGFB1;SERPINH1","","CTC1",2,0,1,2,0,0
"Hypertrophy of lower jaw","4/102",0.280926834545862,0.596070477717165,0,0,1.51505199781062,1.92360246312603,"TGFB1;PTEN;RUNX2","TNNI2","",3,1,0,1,0,0
"mandibular excess (physical finding)","4/102",0.280926834545862,0.596070477717165,0,0,1.51505199781062,1.92360246312603,"TGFB1;PTEN;RUNX2","TNNI2","",3,1,0,1,0,0
"Mandibular hyperplasia","4/102",0.280926834545862,0.596070477717165,0,0,1.51505199781062,1.92360246312603,"TGFB1;PTEN;RUNX2","TNNI2","",3,1,0,1,0,0
"Precursor B-Cell Lymphoblastic Leukemia-Lymphoma","4/102",0.280926834545862,0.596070477717165,0,0,1.51505199781062,1.92360246312603,"CDKN2B;TGFB1;PTEN;ENG","","",4,0,0,1,0,0
"Childhood Leukemia","6/168",0.281424903175597,0.596070477717165,0,0,1.37549857549858,1.74398039479851,"FEN1;TGFB1;GSTP1;PTEN;HLA-C;SMARCA4","","",6,0,0,2,0,0
"Juvenile-Onset Still Disease","6/168",0.281424903175597,0.596070477717165,0,0,1.37549857549858,1.74398039479851,"IL1RN;HLA-B","FCHSD2;CTTN;LPP","BTG1",2,3,1,0,0,0
"Flexion contractures of joints","5/135",0.282652405876092,0.596070477717165,0,0,1.42802303262956,1.80436048699917,"NT5C2;AP4B1;B4GALT7","POMT2","EXOSC3",3,1,1,1,0,0
"Motor Neuron Disease","5/135",0.282652405876092,0.596070477717165,0,0,1.42802303262956,1.80436048699917,"FKBP1A;ATXN2;AIF1","UBQLN1","EXOSC3",3,1,1,1,0,0
"Sparse pubic hair","2/40",0.283606845299105,0.596070477717165,0,0,1.95218963439132,2.46008368110769,"SPRY4","","SOX9",1,0,1,0,0,0
"Muscular Dystrophy, Oculopharyngeal","2/40",0.283606845299105,0.596070477717165,0,0,1.95218963439132,2.46008368110769,"FKBP1A;DAG1","","",2,0,0,0,0,0
"Talipes","2/40",0.283606845299105,0.596070477717165,0,0,1.95218963439132,2.46008368110769,"","TMEM216;TNNI2","",0,2,0,0,0,0
"stage, ovarian epithelial cancer","2/40",0.283606845299105,0.596070477717165,0,0,1.95218963439132,2.46008368110769,"HPR","PLB1","",1,1,0,1,0,0
"AIDS Dementia Complex","2/40",0.283606845299105,0.596070477717165,0,0,1.95218963439132,2.46008368110769,"TGFB1;SLC8A1","","",2,0,0,1,0,0
"Anthrax disease","2/40",0.283606845299105,0.596070477717165,0,0,1.95218963439132,2.46008368110769,"MAP2K1","PLB1","",1,1,0,0,0,0
"Chemical Carcinogenesis","2/40",0.283606845299105,0.596070477717165,0,0,1.95218963439132,2.46008368110769,"MCM7","PLB1","",1,1,0,0,0,0
"Chronic rejection of renal transplant","2/40",0.283606845299105,0.596070477717165,0,0,1.95218963439132,2.46008368110769,"TGFB1;SHROOM3","","",2,0,0,2,0,0
"Malignant neoplasm of stomach stage IV","2/40",0.283606845299105,0.596070477717165,0,0,1.95218963439132,2.46008368110769,"IL1RN;UMPS","","",2,0,0,1,0,0
"Mitochondrial Respiratory Chain Deficiencies","2/40",0.283606845299105,0.596070477717165,0,0,1.95218963439132,2.46008368110769,"","POLG","TXNRD1",0,1,1,0,0,0
"Prostate cancer recurrent","2/40",0.283606845299105,0.596070477717165,0,0,1.95218963439132,2.46008368110769,"NPEPPS","","SOX9",1,0,1,0,0,0
"Psychiatric symptom","2/40",0.283606845299105,0.596070477717165,0,0,1.95218963439132,2.46008368110769,"PTEN;COMT","","",2,0,0,0,0,0
"Liver Cirrhosis, Experimental","24/801",0.283906898630855,0.596070477717165,0,0,1.15042532572413,1.44851078514342,"CSF1R;TGFB1;IGFBP3;ITGB3;LPL;HMGCR;AIF1;IGF2R;ACAT1;CYP3A7;FKBP1A;ADGRE1;PRTG;SRR;DPP7;TSPAN8;ALDH2;SERPINH1;TMEM106A","PRKCB;ADM;VSIR","C1QA;THYN1",19,3,2,5,0,0
"Periodontitis","8/237",0.286528279421356,0.596070477717165,0,0,1.29790426733658,1.62227395945128,"ADGRE1;IL1RN;CDKN2B;TGFB1;ALDH2;IL6R","LEPR","CTC1",6,1,1,3,1,0
"Severe Sepsis","4/103",0.286810066967464,0.596070477717165,0,0,1.49967103990092,1.87299175500125,"IL1RN;TGFB1;PGAP3","ADM","",3,1,0,1,0,0
"Epileptic Seizures","4/103",0.286810066967464,0.596070477717165,0,0,1.49967103990092,1.87299175500125,"MPDZ;SLC8A1;ACAT1","POLG","",3,1,0,0,0,0
"Abnormality of the skull","3/71",0.286884996608941,0.596070477717165,0,0,1.63699246428973,2.04406968641904,"PPP1CB;TWIST1;ATRIP","","",3,0,0,0,0,0
"Cakut","3/71",0.286884996608941,0.596070477717165,0,0,1.63699246428973,2.04406968641904,"SMARCA4","COX10","BICC1",1,1,1,1,0,1
"Flexion contracture","5/136",0.287737746337718,0.596070477717165,0,0,1.41704883444931,1.7652259756087,"NT5C2;AP4B1;B4GALT7","POMT2","EXOSC3",3,1,1,1,0,0
"Inflammatory Bowel Diseases","27/911",0.28775751203946,0.596070477717165,0,0,1.13786396322056,1.41736559645735,"IL1RN;FEN1;SLC22A5;TEX41;SLC22A1;TCF21;LPL;FADS2;KIAA1109;ATXN2;SH2B3;IL6R;IL15RA;TGFB1;CMA1;IGFBP3;HLA-B;HLA-C;LYZ;FER;ADAM15","INTS11;LPP;FCGR3B;PRKCB;MIR3936HG","GALM",21,5,1,7,0,0
"Renal Cell Carcinoma","39/1348",0.289728399500915,0.596070477717165,0,0,1.1113002229079,1.37669132749211,"CSF1R;SLC22A3;DCTN5;GSTP1;PTEN;TWIST1;HMGCR;APEH;COMT;EDNRA;CHAF1A;MAT2A;DDT;PDGFD;SIX2;DAG1;IL6R;SPAG9;CDKN2B;MAP2K1;ABCC1;TGFB1;SFMBT1;IGFBP3;SUSD2;DAB2IP;HLA-B;HLA-C;LNPEP;SDHB;SPINT1;MMP16;MCM6;ENG","FCGR3B;KDR;KYAT3;FGFR4","RBX1",34,4,1,8,0,0
"Arthrogryposis","10/307",0.29011014469216,0.596070477717165,0,0,1.25133766606635,1.54852362809339,"NEK9;KIAA1109;SLC22A5;RFT1;DAG1;POMGNT1","POMT2;TNNI2;POLG","EXOSC3",6,3,1,0,0,0
"Stomach Carcinoma","67/2378",0.29047851884749,0.596070477717165,0,0,1.08406512756552,1.34014911791212,"IL1RN;IRS1;PTEN;TCF21;COMT;SLC8A1;CMIP;EDNRA;CHAF1A;ALDH2;CHEK2;HORMAD1;PRMT5;MAP2K1;ABCC1;IGFBP3;ITGA1;HLA-C;RAD51C;SPINT1;MMP16;ADAM15;SLC29A4;UMPS;PPIA;TMEM106A;ENG;SLC22A3;KCNE2;GSTP1;KMT2C;SLC22A1;TWIST1;XPC;HMGCR;ABO;TSPAN8;SERPINH1;CDKN2B;TGFB1;SYT1;CMA1;IGF2R;SMARCA4;FES;SCD","LEPR;KDR;ADAMTS9;PAWR;AZGP1;NEIL2;CTTN;SPARCL1;BECN1;SDCBP;YY1AP1;FGFR4","BTG1;CCAR2;SOX9;RFC3;EBF3;RBX1;BAG1;HSF1;EIF6",46,12,9,13,2,0
"Complete atrioventricular block","6/170",0.290493423307685,0.596070477717165,0,0,1.35858348968105,1.67944605162954,"TCF19;MAPK9;TGFB1;GSTP1;SERPINH1;HLA-C","","",6,0,0,2,0,0
"Dental caries","6/170",0.290493423307685,0.596070477717165,0,0,1.35858348968105,1.67944605162954,"TGFB1;SERPINH1;COMT;RUNX2","ADM","CTC1",4,1,1,2,0,0
"Brachydactyly","7/204",0.291062854263542,0.596070477717165,0,0,1.31978717369404,1.62890250061281,"MAP2K1;PDE3A;TWIST1;RUNX2","MRPS16;CEP120;YY1AP1","",4,3,0,1,0,0
"Papilloma","7/204",0.291062854263542,0.596070477717165,0,0,1.31978717369404,1.62890250061281,"CDKN2B;TGFB1;IGFBP3;PTEN;XPC;SDHB;PGF","","",7,0,0,1,0,0
"Acute pancreatitis","4/104",0.292710818794173,0.596070477717165,0,0,1.48459770114943,1.82393238165776,"IL1RN;TGFB1;ALDH2","FCGR3B","",3,1,0,2,0,0
"Increased size of the mandible","4/104",0.292710818794173,0.596070477717165,0,0,1.48459770114943,1.82393238165776,"TGFB1;PTEN;RUNX2","TNNI2","",3,1,0,1,0,0
"Periodontal Diseases","5/137",0.292839766123301,0.596070477717165,0,0,1.40624091199907,1.72704621933233,"IL1RN;ALDH2;HLA-C","FCGR3B","CTC1",3,1,1,1,0,0
"Prominent eyes","5/137",0.292839766123301,0.596070477717165,0,0,1.40624091199907,1.72704621933233,"EFEMP2;TGFB1;TWIST1;B4GALT7","","SOX9",4,0,1,1,0,0
"Protruding eyes","5/137",0.292839766123301,0.596070477717165,0,0,1.40624091199907,1.72704621933233,"EFEMP2;TGFB1;TWIST1;B4GALT7","","SOX9",4,0,1,1,0,0
"Amyloid Neuropathies, Familial","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"LYZ","","",1,0,0,0,0,0
"refractory plasma cell neoplasm","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"ABCC1","","",1,0,0,0,0,0
"Antley-Bixler Syndrome, Autosomal Dominant","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"","","TXNRD1",0,0,1,0,0,0
"Renal carnitine transport defect","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"SLC22A5","","",1,0,0,0,0,0
"Breast Cancer, Familial Male","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"CHEK2","","",1,0,0,0,0,0
"Breast Neoplasms, Male","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"CHEK2","","",1,0,0,0,0,0
"Scanning speech","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"COQ2","","",1,0,0,0,0,0
"Secondary malignant neoplasm of skin","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"TGFB1","","",1,0,0,1,0,0
"Secondary Open Angle Glaucoma","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"ATXN2","","",1,0,0,1,0,0
"Sex reversal","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"","","SOX9",0,0,1,0,0,0
"Hodgkin lymphoma, lymphocyte depletion","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"GSTP1","","",1,0,0,0,0,0
"Jaundice, Chronic Idiopathic","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"ABCC1","","",1,0,0,0,0,0
"Sotos' syndrome","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"","FGFR4","",0,1,0,0,0,0
"Sparse or absent eyelashes","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"MAP2K1","","",1,0,0,0,0,0
"Sparse to absent eyelashes","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"MAP2K1","","",1,0,0,0,0,0
"Spinal Cord Neoplasms","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"ABCC1","","",1,0,0,0,0,0
"Neoplasms, Vascular Tissue","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"","KDR","",0,1,0,0,0,0
"Niemann-Pick Disease, Type C1","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"LIPA","","",1,0,0,1,0,0
"POLYMICROGYRIA, BILATERAL FRONTOPARIETAL","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"EDNRA","","",1,0,0,1,0,0
"Reticuloendotheliosis, X-linked","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"SYT1","","",1,0,0,0,0,0
"Scleroderma, Limited","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"HLA-C","","",1,0,0,0,0,0
"Short stature, severe disproportionate","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"DDRGK1","","",1,0,0,0,0,0
"Testicular regression syndrome","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"","","SOX9",0,0,1,0,0,0
"Tooth, Supernumerary","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"RUNX2","","",1,0,0,0,0,0
"Vertigo, Paroxysmal","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"SDHB","","",1,0,0,0,0,0
"22q11 partial monosomy syndrome","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"COMT","","",1,0,0,0,0,0
"Abnormality of aortic valve","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"HLA-B","","",1,0,0,0,0,0
"Abnormality of skin morphology","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"PLCB1","","",1,0,0,0,0,0
"Abnormality of the abdominal wall","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"DDRGK1","","",1,0,0,0,0,0
"Valgus deformities of feet","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"RFT1","","",1,0,0,0,0,0
"Acidosis","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"IGFBP3","","",1,0,0,0,0,0
"Vestibular dysfunction","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"","POLG","",0,1,0,0,0,0
"Xanthomatous Meningioma","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"PTEN","","",1,0,0,0,0,0
"Adrenal Gland Diseases","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"SDHB","","",1,0,0,0,0,0
"Akinetic-Rigid Variant of Huntington Disease","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"","IP6K2","",0,1,0,0,0,0
"Alopecia universalis","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"IL1RN","","",1,0,0,0,0,0
"American cutaneous leishmaniasis","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"HLA-B","","",1,0,0,0,0,0
"Angioblastic Meningioma","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"PTEN","","",1,0,0,0,0,0
"Angiomatous Meningioma","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"PTEN","","",1,0,0,0,0,0
"Bacteroides fragilis infection in conditions classified elsewhere and of unspecified site","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"PGAP3","","",1,0,0,0,0,0
"Benign symmetrical lipomatosis","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"PTEN","","",1,0,0,0,0,0
"Beryllium Disease","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"TGFB1","","",1,0,0,1,0,0
"Blood urea nitrogen measurement","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"BCAS3","","",1,0,0,1,0,0
"Cerebral Convexity Meningioma","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"PTEN","","",1,0,0,0,0,0
"Cerebral metastasis","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"SLC22A1","","",1,0,0,0,0,0
"Coffin-Lowry syndrome","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"","","HSF1",0,0,1,0,0,0
"Decreased sensory nerve conduction velocity","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"","POLG","",0,1,0,0,0,0
"Diaphyseal thickening","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"TBXAS1","","",1,0,0,1,0,0
"Diffuse panbronchiolitis","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"HLA-B","","",1,0,0,0,0,0
"Disseminated eosinophilic collagen disease","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"RRBP1","","",1,0,0,1,0,0
"Distal Spinal Muscular Atrophy","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"TDRKH","","",1,0,0,1,0,0
"Dyschromatopsia","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"","POLG","",0,1,0,0,0,0
"Dysmetric saccades","1/13",0.292898520377682,0.596070477717165,0,0,3.08920634920635,3.79332630039735,"ATXN2","","",1,0,0,1,0,0
